repo_id,author,downloads,likes,last_modified,created_at,is_eval_like,task_pick_and_place,task_pour_liquids,task_laundry_folding,best_task,best_task_score,total_task_score,codebase_version,robot_type,total_episodes,total_frames,total_tasks,total_videos,total_chunks,chunks_size,fps,data_files_size_in_mb,video_files_size_in_mb
Pinguin01TG/record-test11,Pinguin01TG,10,0,2026-01-02T15:27:53+00:00,2026-01-02T15:18:23+00:00,False,0,0,0,pick_and_place,0,0,v3.0,so101_follower,50,27979,1,,,1000,30,100,200
Quadzilla/eval_so101_v7,Quadzilla,5,0,2025-12-22T15:36:46+00:00,2025-12-22T15:35:00+00:00,True,0,0,0,pick_and_place,0,0,v3.0,so101_follower,17,5800,1,,,1000,30,100,200
Quadzilla/testv1,Quadzilla,5,0,2025-12-22T12:03:15+00:00,2025-12-22T12:02:04+00:00,False,0,0,0,pick_and_place,0,0,v3.0,so101_follower,20,7285,1,,,1000,30,100,200
SerhiiShuruta/so101_grab_yellow_cube_to_cart,SerhiiShuruta,18,0,2026-01-19T20:21:58+00:00,2026-01-19T20:20:34+00:00,False,1,0,0,pick_and_place,1,1,v3.0,so101_follower,30,53522,1,,,1000,30,100,200
SerhiiShuruta/so101_yellow_cube_grab_clean,SerhiiShuruta,32,0,2026-01-18T16:47:23+00:00,2026-01-18T16:40:26+00:00,False,1,0,0,pick_and_place,1,1,v3.0,so101_follower,170,303609,1,,,1000,30,100,200
SerhiiShuruta/so101_yellow_cube_grab_cam_pose_2,SerhiiShuruta,28,0,2026-01-17T13:32:50+00:00,2026-01-17T13:30:57+00:00,False,1,0,0,pick_and_place,1,1,v3.0,so101_follower,41,72187,1,,,1000,30,100,200
SerhiiShuruta/so101_yellow_cube_grab,SerhiiShuruta,26,0,2026-01-16T18:17:56+00:00,2026-01-15T18:54:42+00:00,False,1,0,0,pick_and_place,1,1,v3.0,so101_follower,201,339481,1,,,1000,30,100,200
YW0708/svla_test,YW0708,4,0,2026-01-26T11:51:39+00:00,2026-01-19T02:12:54+00:00,False,0,0,0,pick_and_place,0,0,v3.0,so_follower,30,42100,1,,,1000,30,100,200
aDaikiKamata/eval_smolvla_so101_pp_donuts_random_donut_pos_varied,aDaikiKamata,28,0,2026-02-01T17:28:13+00:00,2026-02-01T17:27:43+00:00,True,0,0,0,pick_and_place,0,0,v3.0,so_follower,12,9540,1,,,1000,30,100,200
aDaikiKamata/eval_smolvla_so101_pp_donuts,aDaikiKamata,25,0,2026-01-30T18:45:33+00:00,2026-01-30T18:33:15+00:00,True,0,0,0,pick_and_place,0,0,v3.0,so_follower,10,5839,1,,,1000,30,100,200
aDaikiKamata/so101_pp_donuts_v1,aDaikiKamata,24,0,2026-01-30T12:41:27+00:00,2026-01-30T12:40:37+00:00,False,0,0,0,pick_and_place,0,0,v3.0,so_follower,25,17499,1,,,1000,30,100,200
aShunSasaki/so101_pp_blue_box_k_03,aShunSasaki,25,0,2026-02-06T03:03:02+00:00,2026-02-06T03:02:50+00:00,False,0,0,0,pick_and_place,0,0,v3.0,so_follower,50,32902,1,,,1000,30,100,200
aShunSasaki/eval_so101_pp_blue_box_w_a2_eq_policy_01_test_01,aShunSasaki,26,0,2026-02-05T03:52:57+00:00,2026-02-05T02:13:45+00:00,True,0,0,0,pick_and_place,0,0,v3.0,so_follower,120,81064,1,,,1000,30,100,200
aShunSasaki/so101_pp_blue_box_k_01,aShunSasaki,72,0,2026-02-03T12:19:39+00:00,2026-02-03T11:24:07+00:00,False,0,0,0,pick_and_place,0,0,v3.0,so_follower,50,31570,1,,,1000,30,100,200
aShunSasaki/so101_pp_blue_box_v_02,aShunSasaki,20,0,2026-01-26T21:13:28+00:00,2026-01-26T21:13:19+00:00,False,0,0,0,pick_and_place,0,0,v3.0,so101_follower,200,114397,1,,,1000,30,100,200
aShunSasaki/so101_pp_blue_box,aShunSasaki,5,0,2025-12-04T03:45:04+00:00,2025-12-04T03:44:53+00:00,False,0,0,0,pick_and_place,0,0,v3.0,so101_follower,52,25959,1,,,1000,30,100,200
alizaidi/leisaac-pick-orange,alizaidi,27,0,2026-01-18T01:19:00+00:00,2026-01-18T01:18:52+00:00,False,1,0,0,pick_and_place,1,1,v3.0,so101_follower,60,36293,1,,,1000,30,100,200
alizaidi/so101-multi-pick-table-13_20260115_171614,alizaidi,34,0,2026-01-15T23:24:05+00:00,2026-01-15T23:23:51+00:00,False,1,0,0,pick_and_place,1,1,v3.0,so_follower,12,5111,1,,,1000,30,100,200
alizaidi/so101-multi-pick-merged,alizaidi,37,0,2026-01-13T22:06:27+00:00,2026-01-13T20:50:18+00:00,False,1,0,0,pick_and_place,1,1,v3.0,so101_follower,65,38979,3,,,1000,30,100,200
alizaidi/so101-extract-cable,alizaidi,16,0,2025-12-28T08:16:22+00:00,2025-12-28T08:16:03+00:00,False,0,0,0,pick_and_place,0,0,v3.0,so101_follower,15,8311,1,,,1000,30,100,200
alizaidi/so101-multi-pick-table-13_20251228_015404,alizaidi,14,0,2025-12-28T08:03:35+00:00,2025-12-28T08:03:18+00:00,False,1,0,0,pick_and_place,1,1,v3.0,so101_follower,13,5907,1,,,1000,30,100,200
